2.6561,5.70015,
3.45442,5.87606,
1.90943,8.69179,
4.01155,5.86276,
3.80721,7.014,
1.55836,6.58796,
2.81421,6.43487,
0.552689,7.86074,
3.24696,5.91847,
3.47563,6.32689,
2.76125,7.14453,
4.44843,7.39305,
2.99067,9.00436,
3.06792,6.97358,
2.87189,7.0034,
2.33087,5.56105,
2.90818,6.23171,
3.43866,6.79762,
2.87418,6.68849,
4.36285,4.98528,
1.68756,5.89502,
2.41758,7.51255,
2.53694,6.76412,
3.36641,7.84026,
4.38153,6.04492,
4.2742,7.58929,
1.94858,6.18778,
3.60749,6.58589,
1.94852,6.41647,
1.12582,7.6062,
2.77167,8.29106,
2.25981,7.00521,
3.09355,7.71621,
4.42854,7.211,
1.3575,8.26684,
2.72817,6.72638,
2.99599,5.66756,
2.1727,8.70082,
4.55312,6.72968,
2.16456,5.72215,
2.36993,7.62453,
4.12723,5.80085,
4.25059,5.92962,
0.972964,5.24854,
1.78437,6.24763,
3.47836,7.10224,
1.67375,9.04595,
3.49677,7.32923,
5.05418,7.73881,
3.63825,7.76975,
1.12057,7.27417,
4.18569,7.55359,
2.23293,6.69845,
2.69431,6.86787,
4.08819,8.35515,
4.08841,8.37909,
2.64407,6.40261,
3.62179,5.85691,
3.84681,6.79928,
2.6969,7.19592,
2.54302,7.94672,
2.23776,6.77171,
3.02997,6.11472,
2.43195,7.17496,
3.55464,8.35693,
3.70007,8.21953,
2.46473,6.15112,
2.51587,6.73091,
3.49901,7.30463,
2.37454,7.42062,
3.9842,6.50892,
2.63105,6.31993,
4.10475,5.88509,
3.472,6.94988,
3.04838,5.37582,
3.0539,7.98862,
3.86239,6.88554,
3.51913,7.72114,
0.827735,7.57453,
4.6365,6.6105,
1.96306,8.54038,
2.7753,5.74096,
3.45752,8.10038,
1.99356,6.57317,
3.84518,8.73087,
2.618,7.42633,
2.61166,6.52374,
1.93349,7.4179,
3.97505,7.22374,
5.26394,7.18683,
2.21907,6.32669,
4.28645,8.0194,
2.55422,7.4241,
4.04185,6.25208,
3.43444,8.74047,
2.78959,7.9386,
1.68473,6.51397,
3.5231,7.00671,
1.43526,6.48126,
2.35085,7.05751,
