0.71396	0.20465	0.05188	0.029503
0.71309	0.20491	0.052199	0.029807
0.71222	0.20518	0.052485	0.030118
0.71133	0.20549	0.052748	0.030435
0.71044	0.2058	0.053	0.030753
0.70956	0.20612	0.053252	0.03107
0.70867	0.20644	0.053511	0.03138
0.7078	0.20676	0.053777	0.031667
0.70697	0.20708	0.054052	0.031899
0.7062	0.20741	0.05433	0.032057
0.7055	0.20774	0.054599	0.032166
0.7048	0.20807	0.054846	0.032279
0.70405	0.20843	0.055077	0.03244
0.70319	0.20883	0.055309	0.032678
0.70221	0.20924	0.055553	0.032999
0.70113	0.20966	0.055818	0.033386
0.70001	0.21007	0.056106	0.033807
0.69891	0.21046	0.056417	0.034213
0.69786	0.21083	0.056743	0.034564
0.69681	0.21125	0.057065	0.034868
0.69571	0.21174	0.057365	0.03518
0.69451	0.21229	0.057652	0.035547
0.69319	0.21288	0.057944	0.035987
0.69177	0.21348	0.058253	0.036496
0.6903	0.21406	0.058583	0.037055
0.68881	0.21462	0.058929	0.03764
0.68732	0.21517	0.059286	0.038223
0.68582	0.21577	0.059642	0.038766
0.68435	0.21642	0.059986	0.039241
0.6829	0.21713	0.06031	0.039657
0.68146	0.21787	0.060608	0.040054
0.68003	0.21862	0.060879	0.040469
0.67859	0.21936	0.06113	0.040921
0.67711	0.22011	0.061364	0.041416
0.67559	0.22087	0.061591	0.041949
0.67402	0.22166	0.061818	0.042505
0.67243	0.22245	0.062054	0.043064
0.67086	0.22325	0.062299	0.04359
0.66933	0.22407	0.062548	0.044056
0.66785	0.2249	0.062785	0.044467
0.66643	0.22572	0.063	0.044856
0.66503	0.22652	0.063194	0.045255
0.66364	0.22731	0.063369	0.045681
0.66224	0.2281	0.063529	0.046136
0.66084	0.22887	0.063679	0.046614
0.65943	0.22964	0.063826	0.047106
0.65803	0.23039	0.063979	0.047595
0.65667	0.23113	0.064142	0.048055
0.65537	0.23186	0.06431	0.048459
0.65414	0.23258	0.064474	0.048803
0.65298	0.23328	0.064621	0.049119
0.65184	0.23396	0.06475	0.049446
0.65069	0.23463	0.064865	0.049809
0.6495	0.23529	0.064976	0.050228
0.64823	0.23596	0.065099	0.050712
